word,fre,log_frequency,len,pos,difficult_ug,lexical_difficulty
led,5,1.791759469228055,3,VBD,0.0,0.0
pre,5,1.791759469228055,3,JJ,0.0,0.0
sub,5,1.791759469228055,3,NN,0.0,0.0
try,5,1.791759469228055,3,NN,0.0,0.0
mrs,6,1.9459101490553132,3,JJ,0.0,0.0
non,6,1.9459101490553132,3,NNS,0.0,0.0
etc,7,2.0794415416798357,3,NN,0.0,0.0
get,7,2.0794415416798357,3,VBP,0.0,0.0
met,7,2.0794415416798357,3,VBD,0.0,0.0
act,8,2.1972245773362196,3,VB,0.0,0.0
big,8,2.1972245773362196,3,JJ,0.0,0.0
die,8,2.1972245773362196,3,VB,0.0,0.0
got,8,2.1972245773362196,3,VBD,0.0,0.0
let,8,2.1972245773362196,3,JJR,0.0,0.0
saw,8,2.1972245773362196,3,NNS,0.0,0.0
off,9,2.302585092994046,3,IN,0.0,0.0
run,9,2.302585092994046,3,VB,0.0,0.0
few,10,2.3978952727983707,3,JJ,0.0,0.0
put,10,2.3978952727983707,3,NN,0.0,0.0
too,10,2.3978952727983707,3,RB,0.0,0.0
yet,10,2.3978952727983707,3,RB,0.0,0.0
due,11,2.4849066497880004,3,JJ,0.0,0.0
far,11,2.4849066497880004,3,RB,0.0,0.0
age,12,2.5649493574615367,3,NN,0.0,0.0
why,13,2.639057329615259,3,WRB,0.0,0.0
men,16,2.833213344056216,3,NNS,0.0,0.0
now,16,2.833213344056216,3,RB,0.0,0.0
end,17,2.8903717578961645,3,NN,0.0,0.0
old,17,2.8903717578961645,3,JJ,0.0,0.0
set,18,2.9444389791664403,3,VBN,0.0,0.0
art,20,3.044522437723423,3,NN,0.0,0.0
did,20,3.044522437723423,3,VBD,0.0,0.0
use,20,3.044522437723423,3,NN,0.0,0.0
own,22,3.1354942159291497,3,JJ,0.0,0.0
day,23,3.1780538303479458,3,NN,0.0,0.0
war,23,3.1780538303479458,3,NN,0.0,0.0
say,24,3.2188758248682006,3,VBP,0.0,0.0
see,24,3.2188758248682006,3,VBP,0.0,0.0
way,32,3.4965075614664802,3,NN,0.0,0.0
how,33,3.5263605246161616,3,WRB,0.0,0.0
air,38,3.6635616461296463,3,NN,0.0,0.0
any,38,3.6635616461296463,3,DT,0.0,0.0
two,40,3.713572066704308,3,CD,0.0,0.0
our,41,3.7376696182833684,3,PRP$,0.0,0.0
man,42,3.7612001156935624,3,NN,0.0,0.0
out,45,3.828641396489095,3,IN,0.0,0.0
may,46,3.8501476017100584,3,MD,0.0,0.0
new,59,4.0943445622221,3,JJ,0.0,0.0
you,62,4.143134726391533,3,PRP,0.0,0.0
has,71,4.276666119016055,3,VBZ,0.0,0.0
had,72,4.290459441148391,3,VBD,0.0,0.0
she,73,4.304065093204169,3,PRP,0.0,0.0
who,73,4.304065093204169,3,WP,0.0,0.0
its,79,4.382026634673881,3,PRP$,0.0,0.0
can,80,4.394449154672439,3,MD,0.0,0.0
one,82,4.418840607796598,3,CD,0.0,0.0
all,89,4.499809670330265,3,DT,0.0,0.0
him,89,4.499809670330265,3,PRP,0.0,0.0
but,120,4.795790545596741,3,CC,0.0,0.0
are,130,4.875197323201151,3,VBP,0.0,0.0
her,138,4.9344739331306915,3,PRP$,0.0,0.0
not,149,5.0106352940962555,3,RB,0.0,0.0
his,189,5.247024072160486,3,PRP$,0.0,0.0
was,203,5.318119993844216,3,VBD,0.0,0.0
for,216,5.37989735354046,3,IN,0.0,0.0
and,945,6.852242569051878,3,CC,0.0,0.0
the,2410,7.787796878181171,3,DT,0.0,0.0
july,7,2.0794415416798357,4,RB,0.0,0.0
aged,1,0.6931471805599453,4,VBN,0.0,0.0
able,7,2.0794415416798357,4,JJ,0.0,0.0
alms,1,0.6931471805599453,4,NNS,0.0,0.0
bank,1,0.6931471805599453,4,NN,0.0,0.0
also,71,4.276666119016055,4,RB,0.0,0.0
army,12,2.5649493574615367,4,NN,0.0,0.0
blue,1,0.6931471805599453,4,JJ,0.0,0.0
arts,8,2.1972245773362196,4,NNS,0.0,0.0
bore,1,0.6931471805599453,4,NN,0.0,0.0
calm,1,0.6931471805599453,4,NN,0.0,0.0
asks,7,2.0794415416798357,4,VBZ,0.0,0.0
cart,1,0.6931471805599453,4,JJ,0.0,0.0
cave,1,0.6931471805599453,4,VBP,0.0,0.0
away,16,2.833213344056216,4,RB,0.0,0.0
cell,1,0.6931471805599453,4,NN,0.0,0.0
back,18,2.9444389791664403,4,RB,0.0,0.0
club,1,0.6931471805599453,4,NN,0.0,0.0
cure,1,0.6931471805599453,4,NN,0.0,0.0
damn,1,0.6931471805599453,4,NN,0.0,0.0
been,38,3.6635616461296463,4,VBN,0.0,0.0
dare,1,0.6931471805599453,4,NN,0.0,0.0
dawn,1,0.6931471805599453,4,NN,0.0,0.0
dear,1,0.6931471805599453,4,JJ,0.0,0.0
deer,1,0.6931471805599453,4,NN,0.0,0.0
dire,1,0.6931471805599453,4,NN,0.0,0.0
drug,1,0.6931471805599453,4,NN,0.0,0.0
body,9,2.302585092994046,4,NN,0.0,0.0
ease,1,0.6931471805599453,4,VBP,0.0,0.0
book,12,2.5649493574615367,4,NN,0.0,0.0
edge,1,0.6931471805599453,4,NN,0.0,0.0
born,11,2.4849066497880004,4,VBN,0.0,0.0
evil,1,0.6931471805599453,4,JJ,0.0,0.0
both,26,3.295836866004329,4,DT,0.0,0.0
cage,5,1.791759469228055,4,NN,0.0,0.0
farm,1,0.6931471805599453,4,NN,0.0,0.0
call,5,1.791759469228055,4,JJ,0.0,0.0
feed,1,0.6931471805599453,4,VBP,0.0,0.0
came,13,2.639057329615259,4,VBD,0.0,0.0
fell,1,0.6931471805599453,4,VBD,0.0,0.0
fine,1,0.6931471805599453,4,JJ,0.0,0.0
fish,1,0.6931471805599453,4,VBD,0.0,0.0
case,8,2.1972245773362196,4,NN,0.0,0.0
fool,1,0.6931471805599453,4,JJ,0.0,0.0
gear,1,0.6931471805599453,4,JJ,0.0,0.0
gift,1,0.6931471805599453,4,JJ,0.0,0.0
glad,1,0.6931471805599453,4,JJ,0.0,0.0
goal,1,0.6931471805599453,4,NN,0.0,0.0
grab,1,0.6931471805599453,4,NN,0.0,0.0
come,16,2.833213344056216,4,VBN,0.0,0.0
head,1,0.6931471805599453,4,VBN,0.0,0.0
hell,1,0.6931471805599453,4,NN,0.0,0.0
hide,1,0.6931471805599453,4,RB,0.0,0.0
hind,1,0.6931471805599453,4,NN,0.0,0.0
hour,1,0.6931471805599453,4,NN,0.0,0.0
dark,9,2.302585092994046,4,JJ,0.0,0.0
jail,1,0.6931471805599453,4,JJ,0.0,0.0
jean,1,0.6931471805599453,4,JJ,0.0,0.0
days,11,2.4849066497880004,4,NNS,0.0,0.0
jeep,1,0.6931471805599453,4,NN,0.0,0.0
dead,12,2.5649493574615367,4,JJ,0.0,0.0
joke,1,0.6931471805599453,4,VBD,0.0,0.0
deal,9,2.302585092994046,4,NN,0.0,0.0
kill,1,0.6931471805599453,4,NN,0.0,0.0
lamb,1,0.6931471805599453,4,NN,0.0,0.0
lash,1,0.6931471805599453,4,NN,0.0,0.0
list,1,0.6931471805599453,4,VBP,0.0,0.0
live,1,0.6931471805599453,4,JJ,0.0,0.0
lock,1,0.6931471805599453,4,NN,0.0,0.0
lose,1,0.6931471805599453,4,VB,0.0,0.0
does,31,3.4657359027997265,4,VBZ,0.0,0.0
done,8,2.1972245773362196,4,VBN,0.0,0.0
mark,1,0.6931471805599453,4,NN,0.0,0.0
mass,1,0.6931471805599453,4,NN,0.0,0.0
down,9,2.302585092994046,4,RP,0.0,0.0
none,1,0.6931471805599453,4,NN,0.0,0.0
each,18,2.9444389791664403,4,DT,0.0,0.0
owns,1,0.6931471805599453,4,VBZ,0.0,0.0
pack,1,0.6931471805599453,4,NN,0.0,0.0
peep,1,0.6931471805599453,4,JJ,0.0,0.0
pick,1,0.6931471805599453,4,NN,0.0,0.0
plum,1,0.6931471805599453,4,NN,0.0,0.0
even,33,3.5263605246161616,4,RB,0.0,0.0
pole,1,0.6931471805599453,4,JJ,0.0,0.0
race,1,0.6931471805599453,4,NN,0.0,0.0
rain,1,0.6931471805599453,4,NN,0.0,0.0
eyes,5,1.791759469228055,4,NNS,0.0,0.0
rear,1,0.6931471805599453,4,JJ,0.0,0.0
face,11,2.4849066497880004,4,NN,0.0,0.0
reel,1,0.6931471805599453,4,NN,0.0,0.0
fact,24,3.2188758248682006,4,NN,0.0,0.0
ride,1,0.6931471805599453,4,NN,0.0,0.0
risk,1,0.6931471805599453,4,NN,0.0,0.0
road,1,0.6931471805599453,4,NN,0.0,0.0
rock,1,0.6931471805599453,4,NN,0.0,0.0
rosy,1,0.6931471805599453,4,JJ,0.0,0.0
ruin,1,0.6931471805599453,4,NN,0.0,0.0
sane,1,0.6931471805599453,4,NN,0.0,0.0
feel,11,2.4849066497880004,4,VB,0.0,0.0
save,1,0.6931471805599453,4,VBP,0.0,0.0
send,1,0.6931471805599453,4,VBP,0.0,0.0
sigh,1,0.6931471805599453,4,JJ,0.0,0.0
sign,1,0.6931471805599453,4,NN,0.0,0.0
find,8,2.1972245773362196,4,VBP,0.0,0.0
sins,1,0.6931471805599453,4,NNS,0.0,0.0
fire,6,1.9459101490553132,4,NN,0.0,0.0
size,1,0.6931471805599453,4,NN,0.0,0.0
slag,1,0.6931471805599453,4,NN,0.0,0.0
snow,1,0.6931471805599453,4,NN,0.0,0.0
span,1,0.6931471805599453,4,NN,0.0,0.0
food,5,1.791759469228055,4,NN,0.0,0.0
tile,1,0.6931471805599453,4,NN,0.0,0.0
tiny,1,0.6931471805599453,4,JJ,0.0,0.0
tone,1,0.6931471805599453,4,NN,0.0,0.0
form,31,3.4657359027997265,4,VB,0.0,0.0
torn,1,0.6931471805599453,4,JJ,0.0,0.0
trap,1,0.6931471805599453,4,NN,0.0,0.0
free,6,1.9459101490553132,4,JJ,0.0,0.0
trim,1,0.6931471805599453,4,JJ,0.0,0.0
from,146,4.990432586778736,4,IN,0.0,0.0
vain,1,0.6931471805599453,4,VBP,0.0,0.0
game,5,1.791759469228055,4,NN,0.0,0.0
gave,8,2.1972245773362196,4,VBD,0.0,0.0
week,1,0.6931471805599453,4,NN,0.0,0.0
weld,1,0.6931471805599453,4,NN,0.0,0.0
wins,1,0.6931471805599453,4,NNS,0.0,0.0
girl,7,2.0794415416798357,4,NN,0.0,0.0
give,6,1.9459101490553132,4,VBP,0.0,0.0
woke,1,0.6931471805599453,4,VBD,0.0,0.0
goes,11,2.4849066497880004,4,VBZ,0.0,0.0
york,1,0.6931471805599453,4,RB,0.0,0.0
good,17,2.8903717578961645,4,JJ,0.0,0.0
anti,2,1.0986122886681096,4,VBP,0.0,0.0
area,2,1.0986122886681096,4,NN,0.0,0.0
ball,2,1.0986122886681096,4,NN,0.0,0.0
bear,2,1.0986122886681096,4,IN,0.0,0.0
boat,2,1.0986122886681096,4,NN,0.0,0.0
hand,21,3.091042453358316,4,NN,0.0,0.0
boys,2,1.0986122886681096,4,JJ,0.0,0.0
hard,7,2.0794415416798357,4,JJ,0.0,0.0
cast,2,1.0986122886681096,4,VBD,0.0,0.0
cats,2,1.0986122886681096,4,NNS,0.0,0.0
have,84,4.442651256490317,4,VBP,0.0,0.0
chap,2,1.0986122886681096,4,NN,0.0,0.0
city,2,1.0986122886681096,4,NN,0.0,0.0
hear,5,1.791759469228055,4,JJ,0.0,0.0
coal,2,1.0986122886681096,4,NN,0.0,0.0
core,2,1.0986122886681096,4,NN,0.0,0.0
held,9,2.302585092994046,4,VBD,0.0,0.0
deep,2,1.0986122886681096,4,JJ,0.0,0.0
help,6,1.9459101490553132,4,NN,0.0,0.0
died,2,1.0986122886681096,4,VBD,0.0,0.0
here,8,2.1972245773362196,4,RB,0.0,0.0
ends,2,1.0986122886681096,4,VBZ,0.0,0.0
epic,2,1.0986122886681096,4,NN,0.0,0.0
ever,2,1.0986122886681096,4,RB,0.0,0.0
fear,2,1.0986122886681096,4,NN,0.0,0.0
gone,2,1.0986122886681096,4,VBN,0.0,0.0
hold,6,1.9459101490553132,4,NN,0.0,0.0
grey,2,1.0986122886681096,4,JJ,0.0,0.0
hair,2,1.0986122886681096,4,NN,0.0,0.0
hope,5,1.791759469228055,4,VBP,0.0,0.0
hips,2,1.0986122886681096,4,NNS,0.0,0.0
hose,2,1.0986122886681096,4,JJ,0.0,0.0
indo,2,1.0986122886681096,4,NN,0.0,0.0
huge,7,2.0794415416798357,4,JJ,0.0,0.0
knew,2,1.0986122886681096,4,NNS,0.0,0.0
laid,2,1.0986122886681096,4,VBN,0.0,0.0
late,2,1.0986122886681096,4,JJ,0.0,0.0
idea,10,2.3978952727983707,4,NN,0.0,0.0
main,2,1.0986122886681096,4,JJ,0.0,0.0
mate,2,1.0986122886681096,4,NN,0.0,0.0
into,50,3.9318256327243257,4,IN,0.0,0.0
mode,2,1.0986122886681096,4,VBD,0.0,0.0
nice,2,1.0986122886681096,4,JJ,0.0,0.0
onto,2,1.0986122886681096,4,IN,0.0,0.0
oven,2,1.0986122886681096,4,RB,0.0,0.0
just,11,2.4849066497880004,4,RB,0.0,0.0
pain,2,1.0986122886681096,4,NN,0.0,0.0
pass,2,1.0986122886681096,4,NN,0.0,0.0
path,2,1.0986122886681096,4,NN,0.0,0.0
pied,2,1.0986122886681096,4,VBD,0.0,0.0
safe,2,1.0986122886681096,4,JJ,0.0,0.0
kind,12,2.5649493574615367,4,NN,0.0,0.0
sake,2,1.0986122886681096,4,JJ,0.0,0.0
know,21,3.091042453358316,4,VBP,0.0,0.0
seem,2,1.0986122886681096,4,VBP,0.0,0.0
shop,2,1.0986122886681096,4,NN,0.0,0.0
soft,2,1.0986122886681096,4,JJ,0.0,0.0
song,2,1.0986122886681096,4,JJ,0.0,0.0
sons,2,1.0986122886681096,4,NNS,0.0,0.0
land,9,2.302585092994046,4,NN,0.0,0.0
sort,2,1.0986122886681096,4,VBP,0.0,0.0
star,2,1.0986122886681096,4,NN,0.0,0.0
last,10,2.3978952727983707,4,JJ,0.0,0.0
tear,2,1.0986122886681096,4,NN,0.0,0.0
laws,8,2.1972245773362196,4,NNS,0.0,0.0
town,2,1.0986122886681096,4,NN,0.0,0.0
left,6,1.9459101490553132,4,VBN,0.0,0.0
wait,2,1.0986122886681096,4,VBP,0.0,0.0
legs,16,2.833213344056216,4,JJ,0.0,0.0
wake,2,1.0986122886681096,4,NN,0.0,0.0
want,2,1.0986122886681096,4,VBP,0.0,0.0
less,7,2.0794415416798357,4,JJR,0.0,0.0
weak,2,1.0986122886681096,4,JJ,0.0,0.0
wild,2,1.0986122886681096,4,WP,0.0,0.0
life,63,4.1588830833596715,4,NN,0.0,0.0
wind,2,1.0986122886681096,4,VB,0.0,0.0
like,30,3.4339872044851463,4,IN,0.0,0.0
year,2,1.0986122886681096,4,NN,0.0,0.0
line,8,2.1972245773362196,4,NN,0.0,0.0
aunt,3,1.3862943611198906,4,RP,0.0,0.0
link,5,1.791759469228055,4,VBP,0.0,0.0
beat,3,1.3862943611198906,4,NN,0.0,0.0
bill,3,1.3862943611198906,4,NN,0.0,0.0
bond,3,1.3862943611198906,4,NN,0.0,0.0
care,3,1.3862943611198906,4,JJ,0.0,0.0
long,17,2.8903717578961645,4,JJ,0.0,0.0
cold,3,1.3862943611198906,4,VBD,0.0,0.0
look,7,2.0794415416798357,4,NN,0.0,0.0
door,3,1.3862943611198906,4,NN,0.0,0.0
duty,3,1.3862943611198906,4,NN,0.0,0.0
loss,5,1.791759469228055,4,NN,0.0,0.0
easy,3,1.3862943611198906,4,JJ,0.0,0.0
lost,8,2.1972245773362196,4,VBN,0.0,0.0
fast,3,1.3862943611198906,4,NN,0.0,0.0
feet,3,1.3862943611198906,4,NNS,0.0,0.0
love,7,2.0794415416798357,4,NN,0.0,0.0
five,3,1.3862943611198906,4,CD,0.0,0.0
four,3,1.3862943611198906,4,CD,0.0,0.0
made,31,3.4657359027997265,4,VBD,0.0,0.0
frog,3,1.3862943611198906,4,NN,0.0,0.0
gold,3,1.3862943611198906,4,RB,0.0,0.0
make,22,3.1354942159291497,4,VB,0.0,0.0
grew,3,1.3862943611198906,4,VBD,0.0,0.0
high,3,1.3862943611198906,4,JJ,0.0,0.0
many,45,3.828641396489095,4,JJ,0.0,0.0
john,3,1.3862943611198906,4,NN,0.0,0.0
keen,3,1.3862943611198906,4,JJ,0.0,0.0
king,3,1.3862943611198906,4,VBG,0.0,0.0
lack,3,1.3862943611198906,4,RB,0.0,0.0
mean,7,2.0794415416798357,4,JJ,0.0,0.0
lord,3,1.3862943611198906,4,NN,0.0,0.0
meat,5,1.791759469228055,4,NN,0.0,0.0
mary,3,1.3862943611198906,4,JJ,0.0,0.0
meet,3,1.3862943611198906,4,NN,0.0,0.0
near,3,1.3862943611198906,4,IN,0.0,0.0
milk,8,2.1972245773362196,4,NN,0.0,0.0
news,3,1.3862943611198906,4,NN,0.0,0.0
mind,21,3.091042453358316,4,NN,0.0,0.0
note,3,1.3862943611198906,4,NN,0.0,0.0
obey,3,1.3862943611198906,4,NN,0.0,0.0
open,3,1.3862943611198906,4,JJ,0.0,0.0
paid,3,1.3862943611198906,4,VBD,0.0,0.0
more,44,3.8066624897703196,4,RBR,0.0,0.0
plot,3,1.3862943611198906,4,NN,0.0,0.0
most,28,3.367295829986474,4,RBS,0.0,0.0
poor,3,1.3862943611198906,4,JJ,0.0,0.0
much,18,2.9444389791664403,4,JJ,0.0,0.0
rose,3,1.3862943611198906,4,VBD,0.0,0.0
must,16,2.833213344056216,4,MD,0.0,0.0
runs,3,1.3862943611198906,4,VBZ,0.0,0.0
seek,3,1.3862943611198906,4,NN,0.0,0.0
name,5,1.791759469228055,4,NN,0.0,0.0
sled,3,1.3862943611198906,4,VBD,0.0,0.0
nana,15,2.772588722239781,4,RB,0.0,0.0
sold,3,1.3862943611198906,4,VBD,0.0,0.0
soul,3,1.3862943611198906,4,NN,0.0,0.0
spot,3,1.3862943611198906,4,NN,0.0,0.0
need,9,2.302585092994046,4,VBP,0.0,0.0
thou,3,1.3862943611198906,4,NN,0.0,0.0
next,6,1.9459101490553132,4,JJ,0.0,0.0
tool,3,1.3862943611198906,4,NN,0.0,0.0
turn,3,1.3862943611198906,4,NN,0.0,0.0
walk,3,1.3862943611198906,4,VBP,0.0,0.0
warm,3,1.3862943611198906,4,JJ,0.0,0.0
TRUE,3,1.3862943611198906,4,NNP,0.0,0.0
acts,4,1.6094379124341003,4,NNS,0.0,0.0
best,4,1.6094379124341003,4,RB,0.0,0.0
once,12,2.5649493574615367,4,RB,0.0,0.0
cake,4,1.6094379124341003,4,VB,0.0,0.0
ones,5,1.791759469228055,4,NNS,0.0,0.0
crew,4,1.6094379124341003,4,VBD,0.0,0.0
only,49,3.912023005428146,4,RB,0.0,0.0
cubs,4,1.6094379124341003,4,JJ,0.0,0.0
east,4,1.6094379124341003,4,JJ,0.0,0.0
fall,4,1.6094379124341003,4,NN,0.0,0.0
oral,6,1.9459101490553132,4,JJ,0.0,0.0
felt,4,1.6094379124341003,4,RB,0.0,0.0
film,4,1.6094379124341003,4,NN,0.0,0.0
over,24,3.2188758248682006,4,IN,0.0,0.0
flow,4,1.6094379124341003,4,NN,0.0,0.0
full,4,1.6094379124341003,4,JJ,0.0,0.0
gain,4,1.6094379124341003,4,NN,0.0,0.0
page,4,1.6094379124341003,4,NN,0.0,0.0
gang,4,1.6094379124341003,4,NN,0.0,0.0
gets,4,1.6094379124341003,4,VBZ,0.0,0.0
half,4,1.6094379124341003,4,NN,0.0,0.0
hero,4,1.6094379124341003,4,VBZ,0.0,0.0
home,4,1.6094379124341003,4,NN,0.0,0.0
part,18,2.9444389791664403,4,NN,0.0,0.0
jump,4,1.6094379124341003,4,NN,0.0,0.0
past,12,2.5649493574615367,4,IN,0.0,0.0
keep,4,1.6094379124341003,4,VB,0.0,0.0
kept,4,1.6094379124341003,4,NN,0.0,0.0
lies,4,1.6094379124341003,4,VBZ,0.0,0.0
male,4,1.6094379124341003,4,NN,0.0,0.0
pits,5,1.791759469228055,4,NNS,0.0,0.0
play,21,3.091042453358316,4,VBP,0.0,0.0
poem,24,3.2188758248682006,4,NN,0.0,0.0
poet,16,2.833213344056216,4,NN,0.0,0.0
post,4,1.6094379124341003,4,NN,0.0,0.0
raja,9,2.302585092994046,4,JJ,0.0,0.0
read,9,2.302585092994046,4,JJ,0.0,0.0
real,5,1.791759469228055,4,JJ,0.0,0.0
rest,5,1.791759469228055,4,NN,0.0,0.0
rich,7,2.0794415416798357,4,JJ,0.0,0.0
ring,8,2.1972245773362196,4,VBG,0.0,0.0
rise,8,2.1972245773362196,4,NN,0.0,0.0
role,10,2.3978952727983707,4,NN,0.0,0.0
rule,5,1.791759469228055,4,NN,0.0,0.0
said,6,1.9459101490553132,4,VBD,0.0,0.0
same,19,2.995732273553991,4,JJ,0.0,0.0
says,7,2.0794415416798357,4,VBZ,0.0,0.0
seen,12,2.5649493574615367,4,VBN,0.0,0.0
sees,5,1.791759469228055,4,NNS,0.0,0.0
self,15,2.772588722239781,4,JJ,0.0,0.0
sent,4,1.6094379124341003,4,JJ,0.0,0.0
sets,5,1.791759469228055,4,NNS,0.0,0.0
show,5,1.791759469228055,4,NN,0.0,0.0
side,4,1.6094379124341003,4,NN,0.0,0.0
some,33,3.5263605246161616,4,DT,0.0,0.0
soon,6,1.9459101490553132,4,RB,0.0,0.0
such,42,3.7612001156935624,4,JJ,0.0,0.0
sure,5,1.791759469228055,4,JJ,0.0,0.0
take,24,3.2188758248682006,4,VB,0.0,0.0
talk,5,1.791759469228055,4,NN,0.0,0.0
tall,4,1.6094379124341003,4,JJ,0.0,0.0
task,4,1.6094379124341003,4,NN,0.0,0.0
tell,6,1.9459101490553132,4,VBP,0.0,0.0
term,9,2.302585092994046,4,NN,0.0,0.0
text,14,2.70805020110221,4,NN,0.0,0.0
than,24,3.2188758248682006,4,IN,0.0,0.0
that,397,5.986452005284438,4,DT,0.0,0.0
them,74,4.31748811353631,4,PRP,0.0,0.0
then,16,2.833213344056216,4,RB,0.0,0.0
they,102,4.634728988229636,4,PRP,0.0,0.0
thin,8,2.1972245773362196,4,VBP,0.0,0.0
this,174,5.1647859739235145,4,DT,0.0,0.0
thus,20,3.044522437723423,4,RB,0.0,0.0
till,4,1.6094379124341003,4,NN,0.0,0.0
time,56,4.04305126783455,4,NN,0.0,0.0
tiye,5,1.791759469228055,4,NN,0.0,0.0
told,11,2.4849066497880004,4,VBD,0.0,0.0
took,15,2.772588722239781,4,VBD,0.0,0.0
upon,15,2.772588722239781,4,IN,0.0,0.0
used,27,3.332204510175204,4,VBN,0.0,0.0
uses,9,2.302585092994046,4,NNS,0.0,0.0
vast,4,1.6094379124341003,4,JJ,0.0,0.0
very,25,3.258096538021482,4,RB,0.0,0.0
view,12,2.5649493574615367,4,VBP,0.0,0.0
wars,4,1.6094379124341003,4,NNS,0.0,0.0
ways,14,2.70805020110221,4,NNS,0.0,0.0
well,38,3.6635616461296463,4,RB,0.0,0.0
went,5,1.791759469228055,4,VBD,0.0,0.0
were,65,4.189654742026425,4,VBD,0.0,0.0
west,8,2.1972245773362196,4,JJS,0.0,0.0
what,65,4.189654742026425,4,WP,0.0,0.0
when,70,4.2626798770413155,4,WRB,0.0,0.0
